id;start_date;end_date;language
1;2021-01-30T18:05:44;2021-01-30T15:55:59;SPANISH
2;2021-01-29T22:55:55;2021-01-30T18:00:20;SPANISH
3;2021-01-30T13:51:14;2021-01-30T00:25:23;FRENCH
4;2021-01-30T05:08:45;2021-01-30T16:40:11;FRENCH
5;2021-01-30T14:39:03;2021-01-30T19:26:02;FRENCH
6;2021-01-30T08:31:24;2021-01-30T20:39:38;FRENCH
7;2021-01-30T10:16:44;2021-01-30T04:07:35;FRENCH
8;2021-01-30T09:12:57;2021-01-30T19:29:05;SPANISH
9;2021-01-30T07:54:06;2021-01-30T04:35:29;SPANISH
10;2021-01-30T16:06:10;2021-01-30T02:40:40;SPANISH
